Pavadinimas,Autorius,Publikavimo duomenys
Kūryba,"Mockeliūnienė, Rita","Kaunas : Ridsales, 2023"
Arkliai,"Volant, Iris","Vilnius : Nieko rimto, 2023"
Gyvenimas pilyje,"Navrátil, Ondřej","Vilnius : Nieko rimto, [2023]"
Paryžiaus romanų fabrikas,"Husemann, Dirk","Vilnius : Alma littera, 2023"
Kūryba,"Vilkelienė, Vilija","Kaunas : Ridsales, 2023"
Kelionė prasideda,"Källner, Oskar","Vilnius : Alma littera, 2023"
Miglų slėnio fėjų pasakos,"Lepšienė, Edita","[Nedėldaržis, Marijampolės sav.] : Aridėja, 2023"
Geltonos krokodilų akys,"Pancol, Katherine","Vilnius : Alma littera, 2023"
Psichologinis tvirtumas,"Zahariades, Damon","Vilnius [i.e. Klaipėda] : Liūtai ne avys, 2023"
Iš emocinės tuštumos,"Webb, Jonice","Riešė, Vilniaus r. : Abigailė, [2023]"
Aš dar ievomis žydėsiu,"Dubickas, Arūnas","Kaunas : Ridsales, 2023"
Elektros boikotas ir kiti pasakojimai apie smetoninę Lietuvą,"Kulikauskas, Gediminas","Vilnius : BALTO leidybos namai, 2023"
Sausmedžiu kvepianti vasara,"Woods, Sherryl","Vilnius : Svajonių knygos, 2023"
Laimės nesuplanuosi,"Preston, Janice","Vilnius : Svajonių knygos, 2023"
Velykos,"Masiulienė, Diana","Panevėžys : [Panevėžio spaustuvė], 2023"
Toliau paslapties,"Rakutienė, Rolanda Elžbieta","Kaunas : Ridsales, 2023"
Mes pradedame iš naujo,"Hoover, Colleen","[Vilnius] : [„Baltų lankų“ leidyba], [2023]"
Varnų ežeras,"Lawson, Mary","Vilnius : Alma littera, 2023"
Šviesusis rytojus,"Асєєв, Станіслав Володимирович","Kaunas : BigBookTalk, [2023]"
Jono Aisčio paslaptis,"Šereikienė, Valentina","Kaunas : Naujasis lankas, 2023"
Tūkstantmečių pėdomis,"Mikužienė, Irena Gražina","Kaunas : Vitae Litera, 2023"
Naktinis darbas,"Roberts, Nora","Kaunas : Jotema, [2023]"
Otis kerpa ir klijuoja,"Dirgėlienė, Skaistė","Vilnius : Alma littera, [2023]"
Jausmų vizijos,"Slavinskas, Vilius Ksaveras (1943–2023)","Kaunas : Vilius Ksaveras Slavinskas, 2023"
"Nerimo samprata egzistencinėje filosofijoje (S. Kierkegaard, M. Heidegger) ir egzistencinėje psichologijoje (R. May, E. Spinelli)","Grigas, Justinas","Vilnius : Vilniaus universiteto leidykla, 2023"
Kūryba,"Mincienė, Ilona","Kaunas : Ridsales, 2023"
Gerovės valstybės architektas,"Levandavičiūtė, Ona","Kaunas : Ridsales, 2023"
Knygų dalintojas,"Henn, Carsten Sebastian","Vilnius : Briedis, 2023"
Neįgaliojo įsiliejimas į veiklos pasaulį,"Baužienė, Zita","Vilnius : Kriventa, 2023"
Bloodbath nation,"Auster, Paul","London : Faber & Faber, 2023"
Duok penkis sau!,"Robbins, Mel","Vilnius : BALTO leidybos namai, 2023"
Panelės Benson vabalas,"Joyce, Rachel","Vilnius : BALTO leidybos namai, 2023"
Širdies kelias,"Grupas, Aldona","Kaišiadorys : Printėja, 2023"
Kūryba,"Volungevičienė, Danutė","Kaunas : Ridsales, 2023"
Daržo atmintinė,"Anelauskaitė-Motiejauskė, Ieva","[Trečionys, Prienų r.] : [I. Anelauskaitė-Motiejauskė], 2023"
Išsiduosi. Balsu,"Juknaitė, Vanda","Vilnius : Lietuvos rašytojų sąjungos leidykla, [2023]"
Gyveno kartą Uvė,"Backman, Fredrik","Vilnius : Alma littera, 2023"
Rojaus obuoliukai,"Vilimaitė, Bitė (1943–2014)","Vilnius : Alma littera, 2023"
Du gaideliai,"Stanienė, Silvija","[Kretinga] : [S. Stanienė], 2023"
Pirmoji pasaulyje dirbtinio intelekto sukurta verslo knyga,"Lagūnavičius, Tomas","Kaunas : [T. Lagūnavičius], 2023"
Purpurinio šalmo mįslė,"Šileikytė-Zabalujeva, Loreta","Alytus [i.e. Kaunas] : Ridsales, 2023"
Paskendęs turgus,"Pulkauninkas, Andrius","Vilnius : [A. Pulkauninkas], 2023"
